"id","nama","alamat","desa","kecamatan"
"1021","TK. CINTA ROSUL III","TELAGA EMAS","BARENG","KEC. SEKAR"
"1022","TK DHARMA WANITA PERSATUAN WIJAYA KUSUMA II","RT.15 RW.07","SEKAR","KEC. SEKAR"
"1023","TK. PERTIWI I","BOBOL","BOBOL","KEC. SEKAR"
"1024","TK DWP PERTIWI IV","DSN. KALIWEKAS","BOBOL","KEC. SEKAR"
"1025","TK DWP PERTIWI III","DSN. BANGERAN","BOBOL","KEC. SEKAR"
"1026","TK. CINTA ROSUL II","BARENG","BARENG","KEC. SEKAR"
"1027","TK. KARTINI","DK. KALIKLAMPOK","BOBOL","KEC. SEKAR"
"1028","TK. TUNAS HARAPAN","DKH. DAWE","BOBOL","KEC. SEKAR"
"1029","TK TUNAS CINTA ROSUL I","RT. 08 RW.03","BARENG","KEC. SEKAR"
"1030","TK. DHARMA BAKTI","RAYA DELING","DELING","KEC. SEKAR"
"1031","TK PUTRA HARAPAN","JL. MERDEKA UTARA NO. 15","SUGIHWARAS","KEC. SUGIHWARAS"
"1032","TK DHARMA WANITA RAHAYU BARENG","JL. KRAMAT 333 BARENG SUGIHWARAS","BARENG","KEC. SUGIHWARAS"
"1033","TK DHARMA WANITA MERPATI WEDORO","JL. RAYA WEDORO SUGIHWARAS ","WEDORO","KEC. SUGIHWARAS"
"1034","TK DHARMA WANITA PERSATUAN HARAPAN BANGSA II","JL. DESA GLAGAHAN","SUGIHWARAS","KEC. SUGIHWARAS"
"1035","TK DHARMA WANITA TUNAS HARAPAN","RT. 07 RW. 02","BULU","KEC. SUGIHWARAS"
"1036","TK DHARMA WANITA PERSATUAN MELATI","RT. 20 RW. 06 ","BARENG","KEC. SUGIHWARAS"
"1037","TK DHARMA WANITA PERSATUAN ANAK BANGSA","DESA BALONGREJO KEC. SUGIHWARAS KAB. BOJONEGORO","BALONGREJO","KEC. SUGIHWARAS"
"1038","TK DHARMA WANITA GLAGAHWANGI","DESA GLAGAHWANGI RT: 15 RW: 05 ","GLAGAH WANGI","KEC. SUGIHWARAS"
"1039","TK ABA I SUGIHWARAS","RT.14 RW.03 DESA SUGIHWARAS","SUGIHWARAS","KEC. SUGIHWARAS"
"1040","TK DHARMA WANITA GENJOR","RT.13 RW.02","GENJOR","KEC. SUGIHWARAS"
"1041","TK TUNAS BANGSA","RT.10 RW.04","SUGIHWARAS","KEC. SUGIHWARAS"
"1042","TK DHARMA WANITA TRATE","DESA TRATE RT: 08 RW : 02","TRATE","KEC. SUGIHWARAS"
"1043","TK DHARMA WANITA BALONGREJO","JL. RAYA BALONGREJO-SUGIHWARAS","BALONGREJO","KEC. SUGIHWARAS"
"1044","TK DHARMA WANITA PANEMON","RT 09 RW 03 DESA.PANEMON KEC.SUGIHWARAS","PANEMON","KEC. SUGIHWARAS"
"1045","TK DHARMA WANITA TUNAS JAYA JATITENGAH","JL. BALAI DESA JATITENGAH","JATITENGAH","KEC. SUGIHWARAS"
"1046","TK DHARMA WANITA TUNAS BASUKI PANUNGGALAN","RT. 01 RW. 01","PANUNGGALAN","KEC. SUGIHWARAS"
"1047","TK AL - BAROKAH","RT. 13 RW. 04","GLAGAH WANGI","KEC. SUGIHWARAS"
"1048","TK KEMALA BHAYANGKARI","RT. 01 RW. 01","SUGIHWARAS","KEC. SUGIHWARAS"
"1049","TK DHARMA WANITA PERSATUAN AROFAH","RT.11 RW.03","ALASGUNG","KEC. SUGIHWARAS"
"1050","TK DHARMA WANITA PERSATUAN TAMAN SISWA","JL. SUHADAK NO. 900 SUGIHWARAS","SUGIHWARAS","KEC. SUGIHWARAS"
"1051","TK DHARMA WANITA RESTUTIE DRENGES","RT. 01 RW.01","DRENGES","KEC. SUGIHWARAS"
"1052","TK DHARMA WANITA KENANGA NGLAJANG","JL. KENANGA RT:02 RW;01","NGLAJANG","KEC. SUGIHWARAS"
"1053","TK DHARMA WANITA KEDUNGDOWO","DESA KEDUNGDOWO RT:04 RW:04","KEDUNGDOWO","KEC. SUGIHWARAS"
"1054","TK DHARMA WANITA PERSATUAN TAMAN INDRIYA","DS. ALASGUNG","ALASGUNG","KEC. SUGIHWARAS"
"1055","TK DHARMA WANITA GLAGAHAN","RT 02 RW 01 DS GLAGAHAN KEC SUGIHWARAS","GLAGAHAN","KEC. SUGIHWARAS"
"1056","TK DHARMA WANITA SIWALAN","RT.09 RW.04 DS. SIWALAN","SIWALAN","KEC. SUGIHWARAS"
"1057","TK PKK SUMBERJOKIDUL","JALAN RAYA DESA SUMBERJOKIDUL","SUMBEREJO KIDUL","KEC. SUKOSEWU"
"1058","TK PKK SEMAWOT","JALAN RAYA SEMAWOT NO. 126 RT. 4 RW.1","SEMAWOT","KEC. SUKOSEWU"
"1059","TK PKK DUYUNGAN","JALAN RAYA DESA NO.487 DESA DUYUNGAN KECAMATAN SUK","DUYUNGAN","KEC. SUKOSEWU"
"1060","TK PKK SIDOREJO","JALAN MASJID NO 2","SIDOREJO","KEC. SUKOSEWU"
"1061","TK PKK PACING II","JLN RAYA DESA PACING","PACING","KEC. SUKOSEWU"
"1062","TK PKK JUMPUT","JALAN GAJAH MADA","JUMPUT","KEC. SUKOSEWU"
"1063","TK PKK TEGALKODO","JALAN MASJID","TEGALKODO","KEC. SUKOSEWU"
"1064","TK AISYIYAH BUSTANUL ATHFAL","RT.04 RW.01","KLEPEK","KEC. SUKOSEWU"
"1065","TK PKK SEMENKIDUL","JALAN LAPANGAN","SEMEN KIDUL","KEC. SUKOSEWU"
"1066","TK PKK PURWOASRI I","JALAN RAYA DESA PURWOASRI","PURWOASRI","KEC. SUKOSEWU"
"1067","TK PGRI SIDODADI","JALAN RAYA SIDODADI","SIDODADI","KEC. SUKOSEWU"
"1068","TK PKK SITIAJI","JALAN RAYA DESA SITIAJI","SITIAJI","KEC. SUKOSEWU"
"1069","TK PKK KLEPEK","JALAN RAYA KLEPEK","KLEPEK","KEC. SUKOSEWU"
"1070","TK PKK KALICILIK","JALAN RAYA DESA KALICILIK","KALICILIK","KEC. SUKOSEWU"
"1071","TK AISYIYAH BUSTANUL ATHFAL","RT.01 RW.02","DUYUNGAN","KEC. SUKOSEWU"
"1072","TK PKK SIDODADI","JALAN RAYA SIDODADI","SIDODADI","KEC. SUKOSEWU"
"1073","TK PKK SUKOSEWU","JALAN RAYA SUKOSEWU","SUKOSEWU","KEC. SUKOSEWU"
"1074","TK AISYIYAH BUSTANUL ATHFAL","RT.08 RW. 02","JUMPUT","KEC. SUKOSEWU"
"1075","TK PKK PURWOASRI II","JALAN RAYA BALEN","PURWOASRI","KEC. SUKOSEWU"
"1076","TK PKK PACING I","JL.SUMUR DONO RT 12, RW 03 DESA PACING KEC.SUKOSEW","PACING","KEC. SUKOSEWU"
"1077","TK PKK TLOGOHAJI I","JL. SUTUDONGSO NO 50","TLOGOHAJI","KEC. SUMBERREJO"
"1078","TK ABA II SUMURAGUNG-SUMBERREJO","JL.RAYA KANOR NO 566","SUMURAGUNG","KEC. SUMBERREJO"
"1079","TK PEKUWON I","DESA PEKUWON RT 3 RW 2 KECAMATAN SUMBERREJO KABUPA","PEKUWON","KEC. SUMBERREJO"
"1080","TK PKK BANJAREJO","JL RAYA KEDUNGADEM NO 77","BANJARJO","KEC. SUMBERREJO"
"1081","TK PKK NGAMPAL","RANUDIMEJO DUSUN BARONG","NGAMPAL","KEC. SUMBERREJO"
"1082","TK RADEN MAS MEJUWET","JL. P. SUDIRMAN 118 MEJUWET","MEJUWET","KEC. SUMBERREJO"
"1083","TK DHARMA WANITA SUMURAGUNG","DS SUMURAGUNG","SUMURAGUNG","KEC. SUMBERREJO"
"1084","TK PKK SAMBONGREJO","JL. SERUNI NO 10","SAMBONGREJO","KEC. SUMBERREJO"
"1085","TK PKK PRAYUNGAN","JL. KH WACHID HASYIM","PRAYUNGAN","KEC. SUMBERREJO"
"1086","TK PKK MLINJENG","JL. LUMPANG KENTENG NO 122","MLINJENG","KEC. SUMBERREJO"
"1087","TK ABA III","JL.KAKI DHERMO 129","PEKUWON","KEC. SUMBERREJO"
"1088","TK PKK KEDUNGREJO","JL. AHMAD TOYIB NO. 20","KEDUNGREJO","KEC. SUMBERREJO"
"1089","TK MUSLIMAT NU NURUL UMMAH 28","RT.09 RW.03","SUMURAGUNG","KEC. SUMBERREJO"
"1090","TK DHARMA WANITA MARDISIWI","JL.SIKATAN NO 352 SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"1091","TK DHARMA WANITA KARANGDINOYO","JL.RA.KARTINI.NO.405","KARANG DINOYO","KEC. SUMBERREJO"
"1092","TK PKK PEJAMBON","DSN TANGGUNGAN","PEJAMBON","KEC. SUMBERREJO"
"1093","TK PKK SENDANGAGUNG","DUSUN JALAK","SENDANGAGUNG","KEC. SUMBERREJO"
"1094","TK PKK KARANGDOWO","RT.14 RW 3","KARANGDOWO","KEC. SUMBERREJO"
"1095","TK PKK TULUNGREJO","DESA TULUNGREJO RT 1 RW 2 KECAMATAN SUMBERREJO","TULUNGREJO","KEC. SUMBERREJO"
"1096","TK PKK JATIGEDE I","JL.RONGGOLAWE","JATIGEDE","KEC. SUMBERREJO"
"1097","TK PKK MARGOAGUNG","JL.SUPRIYADI NO 247","MARGOAGUNG","KEC. SUMBERREJO"
"1098","TK PKK DERU","DHARMA BHAKTI NO 114","DERU","KEC. SUMBERREJO"
"1099","TK PKK SUMBERREJO II","JL. RAJAWALI NO 886","SUMBERREJO","KEC. SUMBERREJO"
"1100","TK PKK PEKUWON II","RT.02 RW.03","PEKUWON","KEC. SUMBERREJO"
"1101","TK PKK MEJUWET","JL.DIPONEGORO DESA MEJUWET","MEJUWET","KEC. SUMBERREJO"
"1102","TK PKK JATIGEDE II","RT.01 RW.01 ","JATIGEDE","KEC. SUMBERREJO"
"1103","TK PKK TELENG","SUBUR","TELENG","KEC. SUMBERREJO"
"1104","TK ABA I SUMBERREJO","RT 05 RW 02 KOMPLEK MASJID AT TAQWA SUMBERREJO 621","SUMBERREJO","KEC. SUMBERREJO"
"1105","TK PKK SUMBERHARJO I","SUMBERHARJO","SUMBERHARJO","KEC. SUMBERREJO"
"1106","TK PKK KAYULEMAH II","JL. RAYA PACUL","KAYULEMAH","KEC. SUMBERREJO"
"1107","TK PKK BUTOH","BUTOH","BUTOH","KEC. SUMBERREJO"
"1108","TK PKK WOTAN","JL.KYAI DALANG","WOTAN","KEC. SUMBERREJO"
"1109","TK PKK SUMBERHARJO II","SUMBERHARJO","SUMBERHARJO","KEC. SUMBERREJO"
"1110","TK PGRI SUMBERREJO","JL. KAKI DARMO NO. 75","PEKUWON","KEC. SUMBERREJO"
"1111","TK PKK SUMBERREJO I","JALAN RAYA SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"1112","TK DHARMA WANITA TALUN","JL.RAYA NO 138 TALUN SUMBERREJO","TALUN","KEC. SUMBERREJO"
"1113","TK PKK KAYULEMAH I","JL.KEDUNG PRIMPEN","KAYULEMAH","KEC. SUMBERREJO"
"1114","TK ISLAM TERPADU PERMATA HATI","DESA SUMURAGUNG","SUMURAGUNG","KEC. SUMBERREJO"
"1115","TK DHARMA WANITA PRAYUNGAN","DESA PRAYUNGAN","PRAYUNGAN","KEC. SUMBERREJO"
"1116","TK NURUL UMMAH 06 KEDUNGREJO","KH SHOLEH NO. 114","KEDUNGREJO","KEC. SUMBERREJO"
"1117","TK DHARMA WANITA PERSATUAN NGAMPAL II","PUK NO. 130","NGAMPAL","KEC. SUMBERREJO"
"1118","TK PKK TLOGOHAJI II","RT.10 RW.02","TLOGOHAJI","KEC. SUMBERREJO"
"1119","TK PKK BOGANGIN","RT 05 RW 01","BOGANGIN","KEC. SUMBERREJO"
"1120","TK DHARMA WANITA","RT.06 RW. 02","KALISUMBER","KEC. TAMBAKREJO"
"1121","TK TUNAS HARAPAN","JL. RAYA NGAMBON DS. MALINGMATI","PENGKOL","KEC. TAMBAKREJO"
"1122","TK DHARMA WANITA PERSATUAN PERMATA HATI","DESA NAPIS","NAPIS","KEC. TAMBAKREJO"
"1123","TK BINA PUTRA","DESA JATIMULYO","JATIMULYO","KEC. TAMBAKREJO"
"1124","TK ANANDA","DESA TAMBAKREJO","TAMBAK REJO","KEC. TAMBAKREJO"
"1125","TK CHANDRA KIRANA","RT.01 RW.07","BAKALAN","KEC. TAMBAKREJO"
"1126","TK MEKAR SARI","JL. RAYA NGAMBON","DOLOK GEDE","KEC. TAMBAKREJO"
"1127","TK KARTINI","JL RAYA JAWIK NO 01","TANJUNG","KEC. TAMBAKREJO"
"1128","TK LESTARI","DUKUH WADENG DS. TAMBAKREJO","GADING","KEC. TAMBAKREJO"
"1129","TK MARSUDI SIWI","JL. JAWA NO. 79","JAWIK","KEC. TAMBAKREJO"
"1130","TK MARSUDI SIWI","DESA GAMONGAN","GAMONGAN","KEC. TAMBAKREJO"
"1131","TK PERTIWI","DESA SUKOREJO","DESA SUKOREJO","KEC. TAMBAKREJO"
"1132","TK TUNAS HARAPAN","DESA PENGKOL","MALING MATI","KEC. TAMBAKREJO"
"1133","TK DEWI SARTIKA","DESA BAKALAN","BAKALAN","KEC. TAMBAKREJO"
"1134","TK DHARMA PERTIWI","JL.NGAMBON-TAJI","TURI","KEC. TAMBAKREJO"
"1135","TK MARSUDI RINI","RT. 03 RW. 01 DESA NAPIS","NAPIS","KEC. TAMBAKREJO"
"1136","TK MARSUDI LESTARI","DUKUH TEGARON RT02 RW01","GAMONGAN","KEC. TAMBAKREJO"
"1137","TK FATMAWATI","DESA NGRANCANG","NGRANCANG","KEC. TAMBAKREJO"
"1138","TK LESTARI","JL. RAYA TINGGANG - TAJI DS. GADING","TAMBAK REJO","KEC. TAMBAKREJO"
"1139","TK DHARMA WANITA PERSATUAN TUNAS MULYA","MULYOREJO","MULYOREJO","KEC. TAMBAKREJO"
"1140","TK TUNAS HARAPAN","JL WARUNG SAMBI","SENDANGREJO","KEC. TAMBAKREJO"
"1141","TK SEKAR TAJI","DESA SUKOREJO","SUKOREJO","KEC. TAMBAKREJO"
"1142","TK MUTIARA BUNDA","DS. PAPRINGAN","PAPRINGAN","KEC. TEMAYANG"
"1143","TK PERMATA HATI","DS. PANCUR","PANCUR","KEC. TEMAYANG"
"1144","TK LESTARI","JL. POK DK. SUGIHAN DS. KEDUNGSUMBER","KEDUNGSUMBER","KEC. TEMAYANG"
"1145","TK BUDI UTOMO","DS. BAKULAN","BAKULAN","KEC. TEMAYANG"
"1146","TK SETIYA BUDI","TEMAYANG","TEMAYANG","KEC. TEMAYANG"
"1147","TK PUTRA BANGSA","DUKUH KRICAK","KEDUNGSUMBER","KEC. TEMAYANG"
"1148","TK MEKAR SARI","DS. KEDUNGSARI","KEDUNGSARI","KEC. TEMAYANG"
"1149","TK NGUDI UTOMO","JL. RAYA JONO TEMAYANG KM 23","JONO","KEC. TEMAYANG"
"1150","TK PELITA BUNDA","DS. NGUJUNG","NGUJUNG","KEC. TEMAYANG"
"1151","TK DHARMA WANITA","JL PILANGREJO","BELUN","KEC. TEMAYANG"
"1152","TK HARAPAN KITA","DS. BAKULAN","BAKULAN","KEC. TEMAYANG"
"1153","TK JATI MAKMUR","DS. JONO","JONO","KEC. TEMAYANG"
"1154","TK NUSA BAKTI","DS. BAKULAN","BAKULAN","KEC. TEMAYANG"
"1155","TK TUNAS BHAKTI","DS. KEDUNGSUMBER","KEDUNGSUMBER","KEC. TEMAYANG"
"1156","TK KARTINI","RAYA JONO TEMAYANG","JONO","KEC. TEMAYANG"
"1157","TK KARTINI II","DS. MORI","MORI","KEC. TRUCUK"
"1158","TK PUTRA BHAKTI I","KH.MASDAR NO.56","BANJARSARI","KEC. TRUCUK"
"1159","TK MEKAR SARI","JL. MASJID 274 RT. 09 RW. 01 KEC. TRUCUK KAB. BOJO","SUMBERREJO","KEC. TRUCUK"
"1160","TK KARTINI 1","RT. 02 RW. 01 DESA MORI KEC. TRUCUK","MORI","KEC. TRUCUK"
"1161","TK PERTIWI","KANDANGAN RT. 03 RW.01","KANDANGAN","KEC. TRUCUK"
"1162","TK DHARMA WANITA CEMPAKA","DS. SRANAK","SRANAK","KEC. TRUCUK"
"1163","TK PUTRA BHAKTI II","LETNAN SUCIPTO NO. 33","BANJARSARI","KEC. TRUCUK"
"1164","TK ISLAM TERPADU NURUL HUDA","DESA TULUNGREJO","TULUNGREJO","KEC. TRUCUK"
"1165","TK PUTRA BANGSA II","DS. PADANG","PADANG","KEC. TRUCUK"
"1166","TK AL-FALAHIYAH","RT 35 RW 06","BANJARSARI","KEC. TRUCUK"
"1167","TK MARDISIWI","KEPATIHAN 457","TRUCUK","KEC. TRUCUK"
"1168","TK KUNCUP MEKAR","NGGEDANGAN RT 4 RW 1","TULUNGREJO","KEC. TRUCUK"
"1169","TK MAWAR","RT 03 RW 01 KEC. TRUCUK KAB. BOJONEGORO","SUMBANG TIMUN","KEC. TRUCUK"
"1170","TK DHARMA WANITA","RT. 07 RW. 02","PAGERWESI","KEC. TRUCUK"
"1171","TK SINAR FAJAR","GUYANGAN","GUYANGAN","KEC. TRUCUK"
"1172","TK ASIH","RT 10/RW 02 DESA KANTEN KEC. TRUCUK KAB. BOJONEGOR","KANTEN","KEC. TRUCUK"
"1173","TK PUTRA BANGSA I","RT. 06 RW. 01","PADANG","KEC. TRUCUK"
"1174","KB. AL MUTTAQIN","JL. MASJID NO. 30 RT 01  RW 01","KANTEN","KEC. TRUCUK"
"1175","KB AL-ISHLAHIYAH","JL. MASJID AL-ISLAH RT.11/03 DSN. BANGLE","KANTEN","KEC. BALEN"
"1176","KB TUNAS BANGSA","JL. RAYA NO. 60","KANTEN","KEC. BALEN"
"1177","KB HARAPAN BUNDA","DESA MULYOAGUNG","KANTEN","KEC. BALEN"
"1178","KB NURUL ISLAM 1","RT. 09 RW. 01 DESA MARGOMULYO","KANTEN","KEC. BALEN"
"1179","KELOMPOK BERMAIN BHAKTI PERTIWI","JLN.RAYA SUGIHWARAS NO.612 DESA KEMAMANG","KANTEN","KEC. BALEN"
"1180","KB MUTIARA BUNDA","JL. BUNGKAL DAMAI NO. 02","KANTEN","KEC. BALEN"
"1181","KB. MUTIARA BUNDA","JL. JOGOLEKSONO NO. 19","KANTEN","KEC. BALEN"
"1182","KB MUTIARA HATI","MULYOREJO","KANTEN","KEC. BALEN"
"1183","KB DAARUL ILMI","JL.NURHADI","KANTEN","KEC. BALEN"
"1184","KB AL-FALAH","JL. MASJID ISTIQOMAH NO 150","KANTEN","KEC. BALEN"
"1185","KB PEMBINA","JL BALAI DESA NO. 304","KANTEN","KEC. BALEN"
"1186","KB HARAPAN BANGSA","JL JENDRAL SUDERMAN NO 137","KANTEN","KEC. BALEN"
"1187","KB ROUDLOTUS SHIBYAN","JLN. KALIMASADA NO. 222","KANTEN","KEC. BALEN"
"1188","KB MUTIARA BUNDA","RT.9 RW.1  DESA MARGOMULYO","KANTEN","KEC. BALEN"
"1189","KB ASSA`ADAH","KARANGWARU RT 10/RW 02","KANTEN","KEC. BALEN"
"1190","KB PELITA BANGSA","JLN.SDN 2 MYANGKAWIS-BALEN","KANTEN","KEC. BALEN"
"1191","KB TUNAS HARAPAN","JL CEMPAKA NO 168","KANTEN","KEC. BALEN"
"1192","KELOMPOK BERMAIN ABA","KAUMAN 504","KENEP","KEC. BALEN"
"1193","KB MIFTAHUL ULUM","DESA KEDUNGBONDO","KEDUNGBONDO","KEC. BALEN"
"1194","KELOMPOK BERMAIN AL FAJAR","JL. H. KUSNAN NO. 308 RT. 01 RW. 01","BALENREJO","KEC. BALEN"
"1195","KB MAWAR","JL.H.MAHMUD NO 09","LENGKONG","KEC. BALEN"
"1196","KB AL KHOIRIYAH","JL. RAYA NO 316","KABUNAN","KEC. BALEN"
"1197","KB PELITA BANGSA","JOGOLEKSONO","MAYANGKAWIS","KEC. BALEN"
"1198","KB NURUL ISLAM 2","JL. MASJID","MARGOMULYO","KEC. BALEN"
"1199","KELOMPOK BERMAIN AISYIYAH","RT. 10 RW. 03","BULU","KEC. BALEN"
"1200","KB PERMATA HATI","DS. SOBONTORO KECAMATAN BALEN KABUPATEN BOJONEGORO","SOBONTORO","KEC. BALEN"
"1201","KB MANBA UL HUDA","KOMPLEX MASJID ROUDLOTUL HUDA SEKARAN","SEKARAN","KEC. BALEN"
"1202","KB DAHLIA","JL. RAYA GAMPENG NO. 633","KEDUNGBONDO","KEC. BALEN"
"1203","KELOMPOK BERMAIN ULUL ALBAAB","RT 10 RW 02 BALEN","BALENREJO","KEC. BALEN"
"1204","KB ROHMATUS SHIBYAN","MASJID AL-FALAH","BULU","KEC. BALEN"
"1205","KELOMPOK BERMAIN AR - ROUDLOH","RT 07/RW 02","BULAKLO","KEC. BALEN"
"1206","KB AL AZIZIYAH","JALAN MASJID NURUR ROHIM","SUWALOH","KEC. BALEN"
"1207","KB KHARISMA HATI","JALAN MASJID NO.127 DK. PILANGSARI RT 05 RW 01","PILANG GEDE","KEC. BALEN"
"1208","KB MENTARI","DESA MARGOMULYO","MARGOMULYO","KEC. BALEN"
"1209","KELOMPOK BERMAIN NURUL UMMAH 017","JL. PUK NO. 570 BALENREJO","BALENREJO","KEC. BALEN"
"1210","KB HARAPAN BUNDA","DUKUH JAMBON RT 01/01","SEKARAN","KEC. BALEN"
"1211","KELOMPOK BERMAIN YAP PASRAH","CEMPAKA / KAMPUNG","NGADILUHUR","KEC. BALEN"
"1212","KB TUNAS MULIYA","JL. BASUKI RAHMAT","POH BOGO","KEC. BALEN"
"1213","KB AL HILAL","JL. MASJID AL MUTTAQIN","MAYANGKAWIS","KEC. BALEN"
"1214","KB PERMATA BUNDA","BALAI DESA","BULU","KEC. BALEN"
"1215","KB AL HIDAYAH","DESA KEDUNGBONDO","KEDUNGBONDO","KEC. BALEN"
"1216","KB PERMATA HATI","DESA KEDUNGDOWO","KEDUNGDOWO","KEC. BALEN"
"1217","KB NURUL UMMAH KENEP","DS. KENEP","KENEP","KEC. BALEN"
"1218","KB MIFTAHUL HUDA","JL. MADRASAH NO.01","KADUNGREJO","KEC. BAURENO"
"1219","KB DARUL ULUM AL AYYUBI","DESA BLONGSONG","BLONGSONG","KEC. BAURENO"
"1220","KB MERPATI","DESA KARANGDAYU","KARANGDAYU","KEC. BAURENO"
"1221","KB ROJA UL UMMAH","RT 05 RW 02 DUSUN BANJARANYAR","BANJARANYAR","KEC. BAURENO"
"1222","KB TUFAKHUL JANNAH","AHMAD YANI NO.99","TLOGOAGUNG","KEC. BAURENO"
"1223","KB TUNAS MANTAB","JL.RAYA BAYEMAN","GAJAH","KEC. BAURENO"
"1224","KB AN NAFI AH","RT. 09 RW. 03 DESA BANJARAN","BANJARAN","KEC. BAURENO"
"1225","KB AISYIYAH","KOMPLEK MASJID MUAWANAH","GUNUNGSARI","KEC. BAURENO"
"1226","KELOMPOK BERMAIN TUNAS BANGSA","DS SEMBUNGLOR","SEMBUNGLOR","KEC. BAURENO"
"1227","KB MABDAUS SHOLAH","JL.SOSRO BAHU","POMAHAN","KEC. BAURENO"
"1228","KB AL FALAH","DESA GAJAH","GAJAH","KEC. BAURENO"
"1229","KB ANANDA GUNUNGSARI","JL BUNGCINO 07/02","GUNUNGSARI","KEC. BAURENO"
"1230","KB AT THUFAILY","JL. MASJID NO.12","PASINAN","KEC. BAURENO"
"1231","KB MADINATUL ULUM","JL. KANOR NO 626 KM 01","PASINAN","KEC. BAURENO"
"1232","KB IHYA UL ULUM","LEBAKSARI","LEBAKSARI","KEC. BAURENO"
"1233","KB AL GHOZALIYAH","LEBAKSARI RT 03 RW 01","LEBAKSARI","KEC. BAURENO"
"1234","KB PERMATA BUNDA","PGA NO. 17 A","TULUNGAGUNG","KEC. BAURENO"
"1235","KB PERTIWI","JLN. RAYA BAURENO RT 10 RW 5 DESA PASINAN ","PASINAN","KEC. BAURENO"
"1236","KB MASYITOH","SUMURAGUNG","SUMURAGUNG","KEC. BAURENO"
"1237","KB AMANATUS SHIBYAN I","DK. MANTUP","DRAJAT","KEC. BAURENO"
"1238","KB MIFTAHUL HIDAYAH","JANTEN","SUMURAGUNG","KEC. BAURENO"
"1239","KB HANDAYANI","RT.14 RW.05","BAURENO","KEC. BAURENO"
"1240","KB ARRIDHO","PUCANGARUM","PUCANGARUM","KEC. BAURENO"
"1241","KB AMANATUS SHIBYAN II","JALAN RA KARTINI RT 08 RW 02","DRAJAT","KEC. BAURENO"
"1242","KB. TUNAS BANGSA","JL. MASJID BAITURROHMAN DSN. BUTOH","TULUNGAGUNG","KEC. BAURENO"
"1243","KB MIFTAHUL ULUM","DUSUN RANDAP","PUCANGARUM","KEC. BAURENO"
"1244","KB PUTRA BANGSA","DUSUN WIRE","NGEMPLAK","KEC. BAURENO"
"1245","KELOMPOK BERMAIN AISYIYAH","JL. PASAR HEWAN RT. 05 RW. 03","PASINAN","KEC. BAURENO"
"1246","KB AL HIKMAH","RT 10 RW 04 DUSUN BANGLE","BANJARANYAR","KEC. BAURENO"
"1247","KB AL-MISBAH","RT. 23 RW. 11 DUSUN KARANGLO DESA KADUNGREJO","KADUNGREJO","KEC. BAURENO"
"1248","KB TA LIMUL QURAN","DESA BLONGSONG","BLONGSONG","KEC. BAURENO"
"1249","KB ISLAM PARADISE","JL. GUNUNG SIGIT RT. 23 RW. 06","GUNUNGSARI","KEC. BAURENO"
"1250","KB AZ-ZAHRA","KOMPLEK MASJID HIDAYATULLAH RT. 25 / RW. 06","GUNUNGSARI","KEC. BAURENO"
"1251","KB HARAPAN BANGSA","JL. RAYA SRATUREJO 63","SRATUREJO","KEC. BAURENO"
"1252","KB AL-IKHLAS","JLN. MASJID AL-IKHLAS NO.640","SRATUREJO","KEC. BAURENO"
"1253","KB AR RAUDHOH","RT. 6 RW. 2 DESA DRAJAT KEC. BAURENO","DRAJAT","KEC. BAURENO"
"1254","KB TRI BAKTI","LEBAKSARI, RT. 08/ RW. 03","LEBAKSARI","KEC. BAURENO"
"1255","KB MAWAR PGRI BAURENO","JL. KUD LAMA (KOMPLEKS SDN SRATUREJO II)","SRATUREJO","KEC. BAURENO"
"1256","KB ASSAADAH","JALAN RAJAWALI DESA NGEMPLAK RT 16 RW 06","NGEMPLAK","KEC. BAURENO"
"1257","KB AL BADRY","DUSUN MOJOPENCOL","KALISARI","KEC. BAURENO"
"1258","KB TUMBUH KEMBANG","JL.MASJID BAITURRAHMAN 2","PUCANGARUM","KEC. BAURENO"
"1259","KB AT - TAQWA","BASUKI RAHMAT GG. MASJID","MOJO KAMPUNG","KEC. BOJONEGORO"
"1260","KB KATOLIK SANTO PAULUS","JL. IMAM BONJOL 50","KADIPATEN","KEC. BOJONEGORO"
"1261","KB HIDAYATUL ATHFAL","JL. RAYA KALIREJO NO. 369","KALIREJO","KEC. BOJONEGORO"
"1262","KB PUWAB","PEMUDA/KADIPATEN","KADIPATEN","KEC. BOJONEGORO"
"1263","KB ANANDA","JL. HOS COKROAMINOTO RT.03 RW.01 JETAK","JETAK","KEC. BOJONEGORO"
"1264","KB AR-RIDHO","JL. BASUKI RAHMAT GG.ASPOL NO.58","SUKOREJO","KEC. BOJONEGORO"
"1265","KB PETRA","JL. TEUKU UMAR NO. 64/70 BOJONEGORO","KADIPATEN","KEC. BOJONEGORO"
"1266","KB AL MANSUR","JALAN SERSAN MULYONO NO. 55-57 KLANGON","KLANGON","KEC. BOJONEGORO"
"1267","KB HARAPAN BANGSA","JL. RAYA KALIREJO NO. 66","KALIREJO","KEC. BOJONEGORO"
"1268","KB MANBAUL ULUM","JL. MASJID NO. 99","CAMPURJO","KEC. BOJONEGORO"
"1269","KB ALHAROMAIN","JL. SUHARTONO NO. 08","LEDOKKULON","KEC. BOJONEGORO"
